Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
65,03/7/2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab,",Series J,"10,00,000",nan
66,01/7/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partn,Series C,"3,80,80,000",nan
67,04/7/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"5,00,000",nan
68,10/7/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment A,Private Equity R,"15,00,00,000",nan
69,11/7/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Composite Capital,Series D,"6,00,00,000",nan
70,10/7/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",nan
71,10/7/2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000",nan
72,10/7/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",nan
73,09/7/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",nan
74,08/7/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Inves,Angel Round,"3,19,605",nan
75,05/6/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",nan
76,04/6/2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000",nan
77,03/6/2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and",,"48,89,975.54",nan
78,03/6/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",nan
79,04/6/2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000",nan
80,04/6/2019,Recykal,Waste Management Service,Optimization,Hyderabad,Triton Investment A,pre-Series A,"2,60,00,000",nan
81,03/6/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and,pre-Series A,"25,00,000",nan
82,06/6/2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, En",,"27,39,034.68",nan
83,06/6/2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"2,60,00,000",nan
84,06/6/2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Par,Series B,"1,51,09,500.00",nan
85,10/6/2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Part,Seed Funding,"4,30,200",nan
86,10/6/2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Manag,Series A,"1,55,00,000",nan
87,06/6/2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000",nan
88,08/6/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000",nan
89,04/6/2019,Leegality,Services,Digital Documentation,Mumbai/Bengalu,Mumbai Angels,Series A,"34,00,000",nan
90,06/5/2019,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,undisclosed,nan
91,06/5/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series,"8,68,600",nan
92,05/5/2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Indian Angel Netwo,Bridge Round,undisclosed,nan
93,01/5/2019,BlackBuck,Transport,Logistics,Bengaluru,Goldman Sachs Inv,Series D,"15,00,00,000",nan
94,02/5/2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Manag,Series C,"5,00,00,000",nan
95,28/5/2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"5,10,00,000",nan
96,28/5/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Venture,Seed Round,"14,00,00,000",nan
97,30/5/2019,GlowRoad,E-commerce,Retail,Bengaluru,Korea Investment P,Series B,"1,15,00,000",nan
98,31/5/2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventur,Series B,"56,00,000",nan
99,16/4/2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"4,50,00,000",nan
100,12/4/2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family T,Private Equity,"1,70,00,000",nan
101,10/4/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive C",Private Equity,"4,30,665",nan
102,13/4/2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornb",Series B,"35,91,375",nan
103,12/4/2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel inv,Seed Funding,"2,00,000",nan
104,11/4/2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Pa,Seed Funding,"35,00,000",nan
105,10/4/2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Prefer,"63,20,820",nan
106,10/4/2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495",nan
107,10/4/2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurt,Seed/ Angel Fun,"3,07,000",nan
108,11/4/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger",Series B,"2,60,00,000",nan
109,19/4/2019,My Healthcare,E-commerce,Software Solutions,Bengaluru,Sixth Sense Ventur,Series A,"30,00,000",nan
110,19/4/2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, U",Debt,"14,342,000+",nan
111,17/4/2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventur,Venture Round,"50,00,000",nan
112,17/4/2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny B",Series A,"30,00,000",nan
113,01/2/2019,FleetX,AI,Logistics,Gurgaon,India Quotient and L,Pre Series A,Undisclosed,nan
114,08/2/2019,Zilingo,Ecommerce,Fashion & Apparel,India,Sequoia Capital and,Series D,"22,60,00,000",nan
115,13/2/2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchR",Series A,"6,00,000",nan
116,14/2/2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,"10,00,00,000",nan
117,03/1/2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillh",Series C,"11,00,00,000",nan
118,04/1/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India,"Iron Pillar, Perceptiv",Series D,"2,20,00,000",nan
119,04/1/2019,Samunnati Financial Intermedia,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch go",Debt-Funding,"50,00,000",nan
120,04/12/2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Pa,Seed Funding,"7,00,000",nan
121,01/12/2018,UrbanClap Technologies Pvt. Lt,Services Platform,Home services marketplace,New Delhi,Steadview Capital a,Series D,"5,00,00,000",nan
122,02/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"8,00,000",nan
123,02/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"5,72,000",nan
124,04/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures,Seed Funding,"1,43,000",nan
125,06/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fun",Seed Funding,"20,00,000",nan
126,06/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, G",Series A,"35,00,000",nan
127,01/11/2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Netwo,Seed/ Angel Fun,"1,38,995",nan
128,03/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,Norwest Venture Pa,Series D,"2,77,99,000",nan
129,06/11/2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, D",Series C,"5,00,00,000",nan
130,08/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,"5,00,000",nan
131,08/11/2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Si",Equity,"10,00,000",nan
132,12/11/2018,Blackbuck,Food Tech,POS For Online Ordering,Bengaluru,Tiger Global,Series A,"10,00,000",nan
133,12/11/2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,"13,00,000",nan
134,13/11/2018,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Vent,Mezzanine,"10,00,000",nan
135,14/11/2018,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Fun,"5,00,000",nan
136,19/11/2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fun,Series B,"30,00,00,000",nan
137,20/11/2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund,",Series B (Extens,"60,00,000",nan
138,21/11/2018,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,"2,78,000",nan
139,22/11/2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance,Equity Based Fu,"3,10,00,000",nan
140,22/11/2018,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,Undisclosed,nan
141,23/11/2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengalu,Stellaris Venture Pa,Series A,"34,00,000",nan
142,24/11/2018,Engineer AI,Software,AI Platform,India,Lakestar and Jungle,Series A,"2,95,00,000",nan
143,25/11/2018,InCred Finance,Finance,SME Lending,India,"Paragon Partners, I",Private Equity,"4,20,00,000",nan
144,25/11/2018,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India I,Series B,"17,00,000",nan
145,01/10/2018,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Fun,N/A,nan
146,02/10/2018,Origo Commodities India Pvt. Lt,Logistics,Supply Chain,Hyderabad,Cooperative Oikocr,Seed/ Angel Fun,"1,10,00,000",nan
147,04/10/2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,"82,00,000",nan
148,05/10/2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,"30,00,000",nan
149,11/10/2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Of,Pre-Series A,"40,00,000",nan
150,12/10/2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital Ind,Private Funding,"1,46,80,000",nan
151,12/10/2018,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,"1,20,00,000",nan
152,01/9/2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund,",Private Equity,"3,50,00,000",nan
153,03/9/2018,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lig,Private Equity,"22,50,00,000",nan
154,03/9/2018,Daily hunt,Consumer Internet,News and ebooks Mobile App,Bengaluru,Falcon Edge,Private Equity,"63,90,000",nan
155,04/9/2018,3HCare,Healthcare,Healthcare Service Provider,Delhi,N/A,Seed / Angel Fund,"10,00,000",nan
156,04/9/2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,Korea Investment P,Private Equity,N/A,nan
157,05/9/2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Be,Mumbai,Lighthouse,Private Equity,"15,72,00,000",nan
158,05/9/2018,Mad Street Den,Technology,Computer Vision And Artificial Intellige,Chennai,KDDI,Private Equity,N/A,nan
159,06/9/2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Ca",Private Equity,"10,00,00,000",nan
160,10/9/2018,MamaEarth,Healthcare,Online Marketplace For Mother and Ba,Gurugram,Stellaris Ventures &,Private Equity,"40,00,000",nan
161,11/9/2018,AutoGrid,Technology,AI-Based Energy Optimisation and Co,Bengaluru,CLP Holdings Grou,Private Equity,"3,20,00,000",nan
162,11/9/2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutica,Mumbai,InnoVen Capital,Debt Funding,"55,00,000",nan
163,11/9/2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Qu",Private Equity,"50,00,000",nan
164,12/9/2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,Vertex Ventures So,Private Equity,"3,00,00,000",nan
165,01/8/2018,dishq,Food-Tech,Personalisation Technology Firm Focu,Bengaluru,"Farm To Fork, Arts",Seed/ Angel Fun,"4,00,000",nan
166,01/8/2018,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Ventu",Seed/ Angel Fun,N/A,nan
167,02/8/2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment,Hyderabad,Xiaomi and Sequoia,Private Equity,"70,00,000",nan
168,03/8/2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,"1,20,000",nan
169,07/8/2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puj,Mumbai,N/A,Seed/ Angel Fun,"10,00,000",nan
170,07/8/2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Hold,Private Equity,"3,50,00,000",nan
171,07/8/2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,"1,00,00,000",nan
172,08/8/2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Fun,"40,00,000",nan
173,08/8/2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,Sequoia Capital Ind,Private Equity,"1,22,00,000",nan
174,08/8/2018,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,"6,60,00,000",nan
175,09/8/2018,quizizz,Ed-Tech,e-learning Platform,Bengaluru,Nexus Venture Part,Seed/ Angel Fun,"30,00,000",nan
176,09/8/2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Ja,Seed/ Angel Fun,"10,00,000",nan
177,13/8/2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios V",Seed/ Angel Fun,"40,00,000",nan
178,13/8/2018,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,Nexus Venture Part,Private Equity,"80,00,000",nan
179,16/8/2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,N/A,Seed/ Angel Fun,"1,14,811",nan
180,17/8/2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation P,Gurugram,Denlow Investment,Private Equity,"58,50,000",nan
181,20/8/2018,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,N/A,Seed / Angel Fun,"10,00,000",nan
182,20/8/2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,"48,00,000",nan
183,22/8/2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT fo,Bengaluru,CDC Group plc,Private Equity,"60,00,000",nan
184,22/8/2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss",Private Equity,"1,42,70,000",nan
185,26/8/2018,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit",Private Equity,"1,34,00,000",nan
186,26/8/2018,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\,Bengaluru,"Saama Capital, SRI",Private Equity,"42,00,000",nan
187,27/8/2018,MyUpchar,Healthcare,Local Language Health Content App,Delhi,Nexus Venture Part,Private Equity,"50,00,000",nan
188,28/8/2018,Narvar,IT,Post-Purchase Customer Engagement,Bengaluru,Accel (formerly kno,Private Equity,"30,00,000",nan
189,30/8/2018,True North,Finance,Private Equity Firm,Mumbai,N/A,Private Equity,"60,00,00,000",nan
190,01/7/2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Fun,N/A,nan
191,02/7/2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vina,Seed/ Angel Fun,"10,00,000",nan
192,04/7/2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Tel,Private Equity,"40,00,000",nan
193,05/7/2018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried P,Mumbai,"Shunwei Capital, Tu",Private Equity,"62,50,000",nan
194,06/7/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Lt,Private Equity,"2,77,00,000",nan
195,09/7/2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment,Bengaluru,Info Edge (India) Lt,Seed/ Angel Fun,"4,40,000",nan
196,09/7/2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans,Bengaluru,Insignia Ventures P,Seed/ Angel Fun,"11,00,000",nan
197,10/7/2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands,Gurugram,"Avtar Monga, chief",Seed/ Angel Fun,"4,37,000",nan
198,10/7/2018,iNICU,Healthcare,Med-tech Platform Providing Care For,Delhi,Venture Catalysts,Seed/ Angel Fun,N/A,nan
199,10/7/2018,Kinara Capital,Finance,Lending Platform For Micro and Small,Bengaluru,ResponsAbility,Private Equity,"50,00,000",nan
200,10/7/2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platf,Mumbai,Stellaris Venture Pa,Private Equity,"50,00,000",nan
201,11/7/2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid As,Private Equity,"25,00,000",nan
202,12/7/2018,19th mile,IT,Artificial intelligence-based sales accel,Gurugram,"Rishi Vasudev, Exce",Seed/ Angel Fun,"1,80,000",nan
203,12/7/2018,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and O,Seed/ Angel Fun,"5,00,000",nan
204,13/7/2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal,",Seed/ Angel Fun,"1,75,000",nan
205,17/7/2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,Creation Investmen,Private Equity,"2,90,00,000",nan
206,17/7/2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,Kingsway FCI Fund,Private Equity,"4,97,00,000",nan
207,18/7/2018,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network &,Seed/ Angel Fun,"15,00,000",nan
208,19/7/2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The R",Private Equity,"10,00,00,000",nan
209,20/7/2018,HousingMan,Consumer Internet,Property Discovery Platform,Bengaluru,N/A,Seed/ Angel Fun,"15,00,000",nan
210,21/7/2018,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,"1,80,00,000",nan
211,23/7/2018,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bengaluru,N/A,Seed/ Angel Fun,N/A,nan
212,23/7/2018,VTION,Technology,Media Analytics,Gurugram,"AngelList, Rahul Kh",Seed/ Angel Fun,"2,80,000",nan
213,23/7/2018,Log9 Materials,Technology,Nanotechnology Company Specializin,Bengaluru,"Metaform Ventures,",Seed/ Angel Fun,"4,36,000",nan
214,24/7/2018,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed/ Angel Fun,"1,80,000",nan
215,24/7/2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,"4,50,00,000",nan
